Dataset,Model,Variant,Label Fraction (%),n,mean,std,median,min,max,collapsed,collapse_rate,bimodal
KDSB,BT-UNet,cropflip,5,5,0.5146121561527253,0.11415393458026434,0.548278272151947,0.3601287603378296,0.6620590090751648,0,0.0,False
KDSB,BT-UNet,e0,5,5,0.482865509390831,0.22613916514006221,0.5400334000587463,0.2062788754701614,0.7290713787078857,0,0.0,False
KDSB,BT-UNet,e200,5,5,0.5316142201423645,0.042584903404193256,0.5496098399162292,0.4639374613761902,0.5691841244697571,0,0.0,False
KDSB,BT-UNet,e25,5,5,0.503430700302124,0.018010970045298412,0.4964582324028015,0.4900100231170654,0.5346021056175232,0,0.0,False
KDSB,BT-UNet,e50,5,5,0.48308796286582945,0.0318213529892361,0.4890526533126831,0.4420439898967743,0.5242283344268799,0,0.0,False
KDSB,BT-UNet,frozen,1,5,0.5281063973903656,0.029861905919959714,0.5279700756072998,0.4821586310863495,0.5589897036552429,0,0.0,False
KDSB,BT-UNet,frozen,5,5,0.5873845338821411,0.052224059485528815,0.5947383046150208,0.5214998126029968,0.6444076895713806,0,0.0,False
KDSB,BT-UNet,frozen,10,5,0.5877766489982605,0.035146271840101335,0.5928893685340881,0.5282366871833801,0.619562029838562,0,0.0,False
KDSB,BT-UNet,lambda0001,5,5,0.4845181882381439,0.09840053126771685,0.5153722167015076,0.3223156034946441,0.5595479011535645,0,0.0,False
KDSB,BT-UNet,lambda002,5,5,0.5601749181747436,0.017703194743881934,0.5555580258369446,0.5370783805847168,0.5786951184272766,0,0.0,False
KDSB,BT-UNet,lossbce,5,5,0.5583867073059082,0.045809634099965586,0.5627787113189697,0.4920417070388794,0.616905152797699,0,0.0,False
KDSB,BT-UNet,lossdice,5,5,0.5796325325965881,0.037483053510555434,0.5661735534667969,0.5552058219909668,0.6461554169654846,0,0.0,False
KDSB,BT-UNet,proj2048,5,5,0.5585688054561615,0.0461061415956721,0.5715166330337524,0.4793001115322113,0.599956214427948,0,0.0,False
KDSB,BT-UNet,proj256,5,5,0.5844642877578735,0.03858225351974223,0.5967323184013367,0.5206259489059448,0.6224533915519714,0,0.0,False
KDSB,BT-UNet,proj512,5,5,0.5976028084754944,0.02882996338654991,0.601900577545166,0.5550398826599121,0.6347798109054565,0,0.0,False
KDSB,BT-UNet,smoke,1,5,0.32358985841274257,0.08177183226719248,0.357855349779129,0.2087577432394027,0.3997823894023895,0,0.0,False
KDSB,BT-UNet,sslbudget20,20,5,0.5332743227481842,0.04776927303610211,0.553216278553009,0.4801340103149414,0.5757966041564941,0,0.0,False
KDSB,BT-UNet,sslbudget5,5,5,0.0003699925437103,0.0,0.0003699925437103,0.0003699925437103,0.0003699925437103,5,1.0,False
KDSB,Baseline,base,1,5,0.26274350152234544,0.17863719002492182,0.2935866713523865,0.000369989167666,0.4908555150032043,1,0.2,False
KDSB,Baseline,base,5,5,0.3570626094937325,0.29491738650189353,0.3010787665843963,0.0459872856736183,0.7665696740150452,1,0.2,True
KDSB,Baseline,base,10,5,0.3206973910331726,0.17516557885310602,0.3797909915447235,0.0317057073116302,0.4845259487628937,1,0.2,False
KDSB,Baseline,base,20,5,0.6767658919095993,0.2859308941156354,0.7948901057243347,0.1659442633390426,0.8221790790557861,0,0.0,False
KDSB,Baseline,base,50,5,0.8855799820000001,0.010441557866962194,0.8886199,0.86732316,0.8938777,0,0.0,False
KDSB,Baseline,lossbce,5,5,0.3459522157907486,0.18153168612572074,0.290816068649292,0.1289410442113876,0.6215841770172119,0,0.0,False
KDSB,Baseline,lossdice,5,5,0.5411825358867646,0.16427878648000974,0.5383197069168091,0.3371009826660156,0.756693959236145,0,0.0,False
KDSB,SimSiam,aug025,5,5,0.6174571871757507,0.027267667465935997,0.6175562143325806,0.5901426672935486,0.6536134481430054,0,0.0,False
KDSB,SimSiam,aug100,5,5,0.6060598850250244,0.03786946918750127,0.6180499792098999,0.5561918020248413,0.6477590799331665,0,0.0,False
