Dataset,Model,Variant,Label Fraction (%),Folds run,Fold mean Test Dice,Fold std Test Dice,Fold median Test Dice,Collapsed folds,bimodal,Ensemble Test Dice (filtered),Folds combined (filtered),Ensemble Test Dice (unfiltered),Folds combined (unfiltered)
KDSB,Baseline,lossbce,5,5,0.3459522157907486,0.18153168612572074,0.290816068649292,0,False,0.596988320350647,5.0,0.596988320350647,5
KDSB,Baseline,lossdice,5,5,0.5411825358867646,0.16427878648000974,0.5383197069168091,0,False,0.6719727516174316,5.0,0.6719727516174316,5
KDSB,SimSiam,aug025,5,5,0.6174571871757507,0.027267667465935997,0.6175562143325806,0,False,0.6479912996292114,5.0,0.6479912996292114,5
KDSB,SimSiam,aug100,5,5,0.6060598850250244,0.03786946918750127,0.6180499792098999,0,False,0.6437637805938721,5.0,0.6437637805938721,5
KDSB,SimSiam,base,1,5,0.50946304500103,0.1992629333643894,0.5874871611595154,0,False,0.6183640956878662,5.0,0.6183640956878662,5
KDSB,SimSiam,base,5,5,0.5648676037788392,0.06480637918541703,0.5712447166442871,0,False,0.5794004797935486,5.0,0.5794004797935486,5
KDSB,SimSiam,base,10,5,0.4556943714618683,0.08657992617700735,0.4868327677249908,0,False,0.4948823153972626,5.0,0.4948823153972626,5
KDSB,SimSiam,base,20,5,0.49161988496780396,0.04282469538666709,0.5185859203338623,0,False,0.4876516461372375,5.0,0.4876516461372375,5
KDSB,SimSiam,base,50,5,0.715759015083313,0.17480511297835155,0.8321178555488586,0,False,0.8267722129821777,5.0,0.8267722129821777,5
KDSB,SimSiam,bs32,5,5,0.6092008829116822,0.0777006568001981,0.6377599835395813,0,False,0.6392319202423096,5.0,0.6392319202423096,5
KDSB,SimSiam,bs64,5,5,0.6179663300514221,0.051241817790094124,0.6256808042526245,0,False,0.6449941396713257,5.0,0.6449941396713257,5
KDSB,SimSiam,cropflip,5,5,0.6377715468406677,0.05167419505930416,0.6634098887443542,0,False,0.650791347026825,5.0,0.650791347026825,5
KDSB,SimSiam,e0,5,5,0.28730679005384446,0.18542518814063225,0.2908269166946411,1,True,0.4069360196590423,4.0,0.3033291697502136,5
KDSB,SimSiam,e200,5,5,0.6633304715156555,0.02278087901726201,0.6600813269615173,0,False,0.6692725419998169,5.0,0.6692725419998169,5
KDSB,SimSiam,e25,5,5,0.6607921957969666,0.04390372171503439,0.6432186961174011,0,False,0.6723604798316956,5.0,0.6723604798316956,5
KDSB,SimSiam,e50,5,5,0.5977056384086609,0.04368181129330372,0.5925876498222351,0,False,0.6419665217399597,5.0,0.6419665217399597,5
KDSB,SimSiam,frozen,1,5,0.5638464689254761,0.04651100427537601,0.5611001253128052,0,False,0.6014952659606934,5.0,0.6014952659606934,5
KDSB,SimSiam,frozen,5,5,0.634951376914978,0.028805758732556166,0.653123676776886,0,False,0.6566970944404602,5.0,0.6566970944404602,5
KDSB,SimSiam,frozen,10,5,0.622507107257843,0.011510902543496357,0.620180606842041,0,False,0.6313356757164001,5.0,0.6313356757164001,5
KDSB,SimSiam,nostopgrad,5,5,0.5348438024520874,0.12083207199360035,0.5840893387794495,0,False,0.611285388469696,5.0,0.611285388469696,5
KDSB,SimSiam,pred128,5,5,0.6443910837173462,0.02235588191252134,0.6534604430198669,0,False,0.6748210191726685,5.0,0.6748210191726685,5
KDSB,SimSiam,pred32,5,5,0.6207168221473693,0.034110170467086205,0.6295382380485535,0,False,0.624052882194519,5.0,0.624052882194519,5
KDSB,SimSiam,proj2048,5,5,0.6610777616500855,0.02435044156384281,0.6735742688179016,0,False,0.6870653033256531,5.0,0.6870653033256531,5
KDSB,SimSiam,proj256,5,5,0.6371978640556335,0.02106802661831461,0.6252977252006531,0,False,0.6563230752944946,5.0,0.6563230752944946,5
KDSB,SimSiam,proj512,5,5,0.6089229702949523,0.11906105075251162,0.6384223699569702,0,False,0.7149155139923096,5.0,0.7149155139923096,5
KDSB,SimSiam,sslbudget20,20,5,0.6188534617424011,0.06665884102896075,0.6376162171363831,0,False,0.6825758814811707,5.0,0.6825758814811707,5
KDSB,SimSiam,sslbudget5,5,5,0.524621969461441,0.04606721412477586,0.517153799533844,0,False,0.5800257921218872,5.0,0.5800257921218872,5
