Dataset,Model,Fraction,Variant,n,collapsed,mean,median,std,d_mean,d_median,SE,d/SE,verdict
KDSB,SimSiam-UNET,5,e50,5,0,0.5977056384086609,0.5925876498222351,0.043681811293303716,0.03283803462982171,0.021342933177947998,0.03495130160949045,0.9395368160167484,noise
KDSB,SimSiam-UNET,5,attn,5,0,0.5937167048454285,0.5925890803337097,0.02731250302652459,0.028849101066589333,0.021344363689422607,0.03145104006133333,0.9172701764498122,noise
KDSB,SimSiam-UNET,5,d5,5,0,0.5880684792995453,0.6005533337593079,0.09642719350815875,0.023200875520706155,0.029308617115020752,0.051957810637061966,0.4465329704280643,noise
KDSB,SimSiam-UNET,5,w8,5,0,0.5684332966804504,0.557792603969574,0.09806521585605549,0.0035656929016112393,-0.013452112674713135,0.05256739168727855,0.06783088882977899,noise
KDSB,SimSiam-UNET,5,base,5,0,0.5648676037788392,0.5712447166442871,0.06480637918541703,0.0,0.0,,,reference
KDSB,SimSiam-UNET,5,nostopgrad,5,0,0.5348438024520874,0.5840893387794495,0.12083207199360035,-0.030023801326751753,0.012844622135162354,0.06131925701668388,0.4896308727058257,noise
KDSB,SimSiam-UNET,5,sslbudget5,5,0,0.524621969461441,0.517153799533844,0.04606721412477586,-0.04024563431739814,-0.054090917110443115,0.03555855733952659,1.1318129116746092,noise
KDSB,SimSiam-UNET,5,noskip,5,0,0.5216262459754943,0.5150352120399475,0.023631542101383355,-0.043241357803344815,-0.0562095046043396,0.030849040715113032,1.4017083449262897,noise
KDSB,SimSiam-UNET,5,actelu,5,0,0.5159956514835358,0.5541195869445801,0.1147522325696989,-0.04887195229530339,-0.01712512969970703,0.058937155789627854,0.8292214247621396,noise
KDSB,SimSiam-UNET,5,e0,5,1,0.28730679005384446,0.2908269166946411,0.18542518814063225,-0.2775608137249947,-0.280417799949646,0.08784345983636223,3.159720874405953,clear
KDSB,SimSiam-UNET,10,outbn0,5,0,0.6732782602310181,0.6654579043388367,0.08176735932326905,0.2175838887691498,0.17862513661384588,0.05325783448003991,4.085481336097065,clear
KDSB,SimSiam-UNET,10,outtanh,5,0,0.6616387844085694,0.6558942198753357,0.023846670106650727,0.20594441294670107,0.1690614521503449,0.040161542032126886,5.127901034824748,clear
KDSB,SimSiam-UNET,10,outsoftmax,5,0,0.6322043895721435,0.6536887884140015,0.039759674017254866,0.17651001811027522,0.16685602068901068,0.042607312270957466,4.142716559725129,clear
KDSB,SimSiam-UNET,10,actmish,5,0,0.6286402821540833,0.6247950792312622,0.03697867858588959,0.172945910692215,0.13796231150627142,0.0421034589713828,4.107641389030868,clear
KDSB,SimSiam-UNET,10,actleakyrelu,5,0,0.6230109691619873,0.6348700523376465,0.02201059548164524,0.16731659770011897,0.1480372846126557,0.03995134523460422,4.188009107518017,clear
KDSB,SimSiam-UNET,10,outhard,5,0,0.6225496172904968,0.6371464133262634,0.03006150880366,0.16685524582862854,0.15031364560127264,0.040987261260954165,4.070904976214657,clear
KDSB,SimSiam-UNET,10,frozen,5,0,0.622507107257843,0.620180606842041,0.011510902543496357,0.16681273579597466,0.13334783911705023,0.039060426250060086,4.270632755722118,clear
KDSB,SimSiam-UNET,10,actgelu,5,0,0.6076988339424133,0.6034465432167053,0.03518426544647782,0.152004462480545,0.11661377549171453,0.04179477515629018,3.6369249962974877,clear
KDSB,SimSiam-UNET,10,w32,5,0,0.6014212131500244,0.6178529858589172,0.04721821876853016,0.14572684168815608,0.13102021813392645,0.0441036139119887,3.3041927579667822,clear
KDSB,SimSiam-UNET,10,actsilu,5,0,0.6009891152381897,0.6026468276977539,0.04066379393998547,0.14529474377632134,0.11581405997276312,0.04277762909374394,3.3965123092240312,clear
KDSB,SimSiam-UNET,10,w8,5,0,0.5973362326622009,0.5992370247840881,0.053036704477442326,0.14164186120033262,0.11240425705909735,0.04540699426001152,3.1193842162125245,clear
