Dataset,Model,Variant,Label Fraction (%),Fold,Kind,Prob Max,Prob Mean,Prob p99.9,Frac Pixels > 0.5,Test Dice @0.5,Best Threshold,Test Dice @best,Dice Range 0.3-0.7,Diagnosis,Dice @0.05,Dice @0.10,Dice @0.15,Dice @0.20,Dice @0.25,Dice @0.30,Dice @0.35,Dice @0.40,Dice @0.45,Dice @0.50,Dice @0.55,Dice @0.60,Dice @0.65,Dice @0.70,Dice @0.75,Dice @0.80,Dice @0.85,Dice @0.90,Dice @0.95
ISIC2018,BT-UNet,base,1,0,fold,1.0,0.5910685658454895,1.0,0.5911342163085938,0.5350015163421631,0.95,0.5963500142097473,0.05245375633239746,threshold-sensitive,0.43818309903144836,0.4612041413784027,0.4770408272743225,0.48890021443367004,0.4980015158653259,0.5063073635101318,0.514265775680542,0.5214617848396301,0.5285969972610474,0.5350015163421631,0.5412614941596985,0.5466861128807068,0.552381694316864,0.5587611198425293,0.5660713315010071,0.5737783908843994,0.5829508900642395,0.5948250889778137,0.5963500142097473
ISIC2018,BT-UNet,base,1,1,fold,1.0,0.6605572700500488,1.0,0.6655383911132813,0.5352274179458618,0.95,0.616250216960907,0.051419198513031006,threshold-sensitive,0.4565730690956116,0.47290459275245667,0.48444801568984985,0.4939268231391907,0.5020091533660889,0.5092923045158386,0.5160677433013916,0.5223118662834167,0.5287158489227295,0.5352274179458618,0.5415600538253784,0.5475826263427734,0.5538963079452515,0.5607115030288696,0.5682621002197266,0.576892614364624,0.5871358513832092,0.5998649001121521,0.616250216960907
ISIC2018,BT-UNet,base,1,2,fold,1.0,0.6589875221252441,0.99951171875,0.6850454406738281,0.5391037464141846,0.9,0.6731241345405579,0.15598857402801514,threshold-sensitive,0.4159943759441376,0.4182935953140259,0.42436927556991577,0.4344234764575958,0.4477192163467407,0.4631173610687256,0.48054730892181396,0.4994743764400482,0.5189350843429565,0.5391037464141846,0.5591493844985962,0.5791849493980408,0.5991881489753723,0.6191059350967407,0.6395411491394043,0.6586140394210815,0.6727415919303894,0.6731241345405579,0.644670844078064
ISIC2018,BT-UNet,base,1,3,fold,1.0,0.4692756235599518,0.99951171875,0.4427996368408203,0.5841054320335388,0.7,0.5942497849464417,0.03880029916763306,healthy,0.45676735043525696,0.483058363199234,0.5099846124649048,0.5289404392242432,0.5439804792404175,0.5554494857788086,0.5648295879364014,0.5725063681602478,0.5784945487976074,0.5841054320335388,0.5880623459815979,0.5909523963928223,0.5934964418411255,0.5942497849464417,0.5939793586730957,0.5926828384399414,0.5869954228401184,0.5695909261703491,0.5179974436759949
ISIC2018,BT-UNet,base,1,4,fold,1.0,0.4767240285873413,1.0,0.47195413208007814,0.5624930262565613,0.85,0.6065247058868408,0.0548015832901001,threshold-sensitive,0.4837500751018524,0.5018901228904724,0.5120382308959961,0.5201969146728516,0.527538001537323,0.5349811911582947,0.5420182347297668,0.5491526126861572,0.555682361125946,0.5624930262565613,0.569598913192749,0.5764809846878052,0.5827599167823792,0.5897827744483948,0.5960971713066101,0.601683497428894,0.6065247058868408,0.605775773525238,0.5937222838401794
ISIC2018,BT-UNet,base,20,0,fold,1.0,0.2591286301612854,0.99951171875,0.2540015869140625,0.8308841586112976,0.65,0.8316369652748108,0.003588855266571045,healthy,0.8082647323608398,0.8184822797775269,0.8226479291915894,0.8251308798789978,0.8267841935157776,0.8280481100082397,0.8290132284164429,0.8298068046569824,0.830429196357727,0.8308841586112976,0.8312906622886658,0.8315293192863464,0.8316369652748108,0.8316178321838379,0.8314108848571777,0.8309228420257568,0.8298323750495911,0.8274952173233032,0.8202439546585083
ISIC2018,BT-UNet,base,20,1,fold,1.0,0.2663131654262543,0.9990234375,0.2605627593994141,0.8325248956680298,0.85,0.836304783821106,0.0068489909172058105,healthy,0.8067735433578491,0.8173967599868774,0.821986973285675,0.824792742729187,0.826815664768219,0.82834392786026,0.8296214938163757,0.83070969581604,0.8316676020622253,0.8325248956680298,0.8332683444023132,0.8339628577232361,0.8345925211906433,0.8351929187774658,0.8356812596321106,0.8361111283302307,0.836304783821106,0.8360043168067932,0.832116961479187
ISIC2018,BT-UNet,base,20,2,fold,0.99951171875,0.2824552357196808,0.99853515625,0.2698880615234375,0.8354655504226685,0.7,0.8378132581710815,0.00770878791809082,healthy,0.7856400609016418,0.8111001253128052,0.8199515342712402,0.8246847987174988,0.8278255462646484,0.8301044702529907,0.8319026827812195,0.8333301544189453,0.8344870805740356,0.8354655504226685,0.836259126663208,0.8369194269180298,0.837444007396698,0.8378132581710815,0.8377944231033325,0.8373105525970459,0.8360874056816101,0.8330786824226379,0.8209494948387146
ISIC2018,BT-UNet,base,20,3,fold,1.0,0.2733668386936188,0.998046875,0.26539613342285157,0.8280834555625916,0.85,0.83243727684021,0.008133649826049805,healthy,0.7941709160804749,0.8098461627960205,0.8155053853988647,0.8188881278038025,0.8212559819221497,0.8230809569358826,0.8246244192123413,0.8259230852127075,0.8270749449729919,0.8280834555625916,0.8289938569068909,0.8297762870788574,0.8305279612541199,0.8312146067619324,0.8318433165550232,0.8323011994361877,0.83243727684021,0.8317422866821289,0.8270742297172546
ISIC2018,BT-UNet,base,20,4,fold,0.99951171875,0.2861745059490204,0.99755859375,0.2776706390380859,0.8248841762542725,0.9,0.8328831195831299,0.011870086193084717,healthy,0.7827996611595154,0.8006287813186646,0.8079335689544678,0.8123590350151062,0.8155583739280701,0.8179903626441956,0.8200571537017822,0.8218360543251038,0.8234094381332397,0.8248841762542725,0.8262280225753784,0.8274577260017395,0.828730046749115,0.8298604488372803,0.830965518951416,0.8319948315620422,0.832781970500946,0.8328831195831299,0.8286938667297363
